사업장명,지번주소,도로명주소,업태구분명,구,경도,위도,구글가게명,구글주소,별점,카테고리,리뷰수,구글위도,구글경도,지도링크,시원한 음식,뜨끈한 국물,매콤한 음식,든든한 한끼,육류구이/고기파티,가볍게 간단히,술 한잔 하기 좋은날,디저트/카페,이국적인 음식,해산물/생선요리,패스트푸드,가족/단체 외식,건강/채식/특수식단,W_클리어,W_구름,W_비,W_이슬비,W_뇌우,W_눈,W_분위기
족발중심 가산디지털역점,서울특별시 금천구 가산동 50-3번지 대륭포스트타워6차 B111호,"서울특별시 금천구 벚꽃로 298, B111호 (가산동, 대륭포스트타워6차)",한식,금천구,126.8839175,37.48138681,족발중심,서울특별시 금천구 가산동 벚꽃로 298,3.8,한식,12,37.4815236,126.8837943,https://www.google.com/maps/place/%25EC%25A1%25B1%25EB%25B0%259C%25EC%25A4%2591%25EC%258B%25AC/data=%213m1%214b1%214m6%213m5%211s0x357c9e1de6e78ff9:0xd9f35b8b7c980085%218m2%213d37.4815236%214d126.8837943%2116s%252Fg%252F11f03zx2mp?entry=ttu&g_ep=EgoyMDI1MDcyMS4wIKXMDSoASAFQAw%253D%253D,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
정셰프의 생돈까스,"서울특별시 금천구 가산동 459-22 백상스타타워2차 104, 104-1호","서울특별시 금천구 가산디지털2로 165, 백상스타타워2차 1층 104, 104-1호 (가산동)",한식,금천구,126.8774686,37.48248976,정셰프의생돈까스,서울특별시 금천구 가산디지털2로 165 1층 104호,3.8,돈까스 전문식당,5,37.4824439,126.8774463,https://www.google.com/maps/place/%25EC%25A0%2595%25EC%2585%25B0%25ED%2594%2584%25EC%259D%2598%25EC%2583%259D%25EB%258F%2588%25EA%25B9%258C%25EC%258A%25A4/data=%213m1%214b1%214m6%213m5%211s0x357c9e1de44ff14d:0xeaea0dcd82d40f5d%218m2%213d37.4824439%214d126.8774463%2116s%252Fg%252F11f661zycb?entry=ttu&g_ep=EgoyMDI1MDcyMS4wIKXMDSoASAFQAw%253D%253D,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
대륭 더이룸푸드,"서울특별시 금천구 가산동 50-3 대륭포스트타워6차 B114, B115호 ","서울특별시 금천구 벚꽃로 298 (가산동,대륭포스트타워6차 B114, B115호)",한식,금천구,126.8839175,37.48138681,대륭 더이룸푸드 한식부페,서울특별시 금천구 벚꽃로 298 지하 1층 대륭포스트타워 6차,3,한식당,1,37.4812387,126.8838112,https://www.google.com/maps/place/%25EB%258C%2580%25EB%25A5%25AD+%25EB%258D%2594%25EC%259D%25B4%25EB%25A3%25B8%25ED%2591%25B8%25EB%2593%259C+%25ED%2595%259C%25EC%258B%259D%25EB%25B6%2580%25ED%258E%2598/data=%213m1%214b1%214m6%213m5%211s0x357c9f002ebaacbd:0x9ce66a30d5f7a59e%218m2%213d37.4812387%214d126.8838112%2116s%252Fg%252F11lzk7sjcw?entry=ttu&g_ep=EgoyMDI1MDcyMS4wIKXMDSoASAFQAw%253D%253D,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE
연지다방,서울특별시 금천구 독산동 1041-3 삼성빌,"서울특별시 금천구 독산로68길 8-1 (독산동, 삼성빌)",정종/대포집/소주방,금천구,126.9026177,37.4657599,연지다방,서울특별시 금천구 독산로68길 8-1,3.5,카페,2,37.4657595,126.9026179,https://www.google.com/maps/place/%25EC%2597%25B0%25EC%25A7%2580%25EB%258B%25A4%25EB%25B0%25A9/data=%213m1%214b1%214m6%213m5%211s0x357b619158749305:0x4db307679ecc2b4f%218m2%213d37.4657595%214d126.9026179%2116s%252Fg%252F11jz1lk5h8?entry=ttu&g_ep=EgoyMDI1MDcyMS4wIKXMDSoASAFQAw%253D%253D,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
자작나무,서울특별시 금천구 독산동 296-9번지 지상1층,"서울특별시 금천구 가산로 61, 지상1층 (독산동)",한식,금천구,126.8959291,37.47185213,카페 자작나무,서울특별시 금천구 296-9번지 문화정원 1층,4.3,카페,64,37.471894,126.895969,https://www.google.com/maps/place/%25EC%25B9%25B4%25ED%258E%2598+%25EC%259E%2590%25EC%259E%2591%25EB%2582%2598%25EB%25AC%25B4/data=%214m10%211m2%212m1%211z7J6Q7J6R64KY66y0IOq4iOyynOq1rA%213m6%211s0x357b61d95b88fd4f:0x585d311315082572%218m2%213d37.471894%214d126.895969%2115sChbsnpDsnpHrgpjrrLQg6riI7LKc6rWsWhkiF-yekOyekSDrgpjrrLQg6riI7LKc6rWskgEEY2FmZaoBUxABKhEiDeyekOyekSDrgpjrrLQoCTIfEAEiGyqHl_23XQnRyeUdDLAsdTWytgRmbkXgE9AAoDIbEAIiF-yekOyekSDrgpjrrLQg6riI7LKc6rWs4AEA%2116s%252Fg%252F11dfnn34h1?entry=ttu&g_ep=EgoyMDI1MDcyMS4wIKXMDSoASAFQAw%253D%253D,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
도쿄짬뽕,서울특별시 금천구 독산동 291-7 삼성홈플러스(금천점) 지상1층,"서울특별시 금천구 시흥대로 391, 지상1층 (독산동, 홈플러스금천점)",중국식,금천구,126.8968981,37.46868469,도쿄짬뽕,독산동 291-7번지 삼성홈플러스금천점 지상1층 금천구 서울특별시 KR,5,중국식,1,37.4686493,126.8968106,https://www.google.com/maps/place/%25EB%258F%2584%25EC%25BF%2584%25EC%25A7%25AC%25EB%25BD%2595/data=%213m1%214b1%214m6%213m5%211s0x357b61db0926de0d:0xbb272cb6374a9176%218m2%213d37.4686493%214d126.8968106%2116s%252Fg%252F11f64dw_kh?entry=ttu&g_ep=EgoyMDI1MDcyMS4wIKXMDSoASAFQAw%253D%253D,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Cafe Verona(카페 베로나),서울특별시 금천구 가산동 547-63번지 골드리버호텔  지상2층,"서울특별시 금천구 서부샛길 584, 지상2층 (가산동, 골드리버호텔 )",경양식,금천구,126.8769445,37.47837661,베로나 부페,서울특별시 금천구 서부샛길 584 골드리버호텔 F2,3.8,경양식,4,37.4782692,126.8768519,https://www.google.com/maps/place/%25EB%25B2%25A0%25EB%25A1%259C%25EB%2582%2598+%25EB%25B6%2580%25ED%258E%2598/data=%214m10%211m2%212m1%211zQ2FmZSBWZXJvbmEo7Lm07Y6YIOuyoOuhnOuCmCkg6riI7LKc6rWs%213m6%211s0x357b6192f7f3fb85:0x4af80d180558f236%218m2%213d37.4782692%214d126.8768519%2115sCidDYWZlIFZlcm9uYSjsubTtjpgg67Kg66Gc64KYKSDquIjsspzqtaxaKCImY2FmZSB2ZXJvbmEg7Lm07Y6YIOuyoOuhnOuCmCDquIjsspzqtaySAQpyZXN0YXVyYW50qgFxEAEqICIcY2FmZSB2ZXJvbmEg7Lm07Y6YIOuyoOuhnOuCmCgJMh8QASIb4K1MF4VBzlT67BPGdDSppqR2tXtPxwFJbd7GMioQAiImY2FmZSB2ZXJvbmEg7Lm07Y6YIOuyoOuhnOuCmCDquIjsspzqtazgAQA%2116s%252Fg%252F11tcbkrllq?entry=ttu&g_ep=EgoyMDI1MDcyMS4wIKXMDSoASAFQAw%253D%253D,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
보노웰푸드,서울특별시 금천구 가산동 60-17 백상스타타워1차,"서울특별시 금천구 디지털로9길 65, 백상스타타워1차 지하 1층 B101호 (가산동)",한식,금천구,126.8853592,37.4802922,보노웰푸드 구내식당,서울특별시 금천구 가산동 60-17 지하 1층 백상스타타워 1차,3,한식당,1,37.4802615,126.8852955,https://www.google.com/maps/place/%25EB%25B3%25B4%25EB%2585%25B8%25EC%259B%25B0%25ED%2591%25B8%25EB%2593%259C+%25EA%25B5%25AC%25EB%2582%25B4%25EC%258B%259D%25EB%258B%25B9/data=%213m1%214b1%214m6%213m5%211s0x357c9f005d648dc1:0xef514e9d5553765d%218m2%213d37.4802615%214d126.8852955%2116s%252Fg%252F11wc2n6lgx?entry=ttu&g_ep=EgoyMDI1MDcyMS4wIKXMDSoASAFQAw%253D%253D,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE
천지회관,"서울특별시 금천구 가산동 664 대륭테크노타운13차 지상1층 102,103호 ","서울특별시 금천구 가산디지털1로 24, 대륭테크노타운13차 지상1층 102,103호 (가산동)",한식,금천구,126.8876534,37.4683809,천지회관,서울특별시 금천구 가산디지털1로 24,4.1,한식 고기구이 레스토랑,267,37.4683472,126.8876527,https://www.google.com/maps/place/%25EC%25B2%259C%25EC%25A7%2580%25ED%259A%258C%25EA%25B4%2580/data=%213m1%214b1%214m6%213m5%211s0x357b61853ff415d5:0x150f786bb42b696d%218m2%213d37.4683472%214d126.8876527%2116s%252Fg%252F11g0g31mhf?entry=ttu&g_ep=EgoyMDI1MDcyMS4wIKXMDSoASAFQAw%253D%253D,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
AMIGO(아미고),서울특별시 금천구 시흥동 995-13번지 지상1층,"서울특별시 금천구 시흥대로59길 10, 지상1층 (시흥동)",기타,금천구,126.9001748,37.45361772,아미고,서울특별시 금천구 시흥동 995-13,4.2,칵테일바,10,37.4535781,126.9001549,https://www.google.com/maps/place/%25EC%2595%2584%25EB%25AF%25B8%25EA%25B3%25A0/data=%213m1%214b1%214m6%213m5%211s0x357b619395ca3f21:0x4ed2a56d46668019%218m2%213d37.4535781%214d126.9001549%2116s%252Fg%252F11hyfw5wzp?entry=ttu&g_ep=EgoyMDI1MDcyMS4wIKXMDSoASAFQAw%253D%253D,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
놀란치킨 가산디지털역점,서울특별시 금천구 가산동 371-41 가산 에스케이 브이원 센터 125호,"서울특별시 금천구 가산디지털1로 171, 가산 에스케이 브이원 센터 지상1층 125호 (가산동)",호프/통닭,금천구,126.8807005,37.4807302,놀란치킨 가산디지털단지점,서울특별시 금천구 가산동 가산디지털1로 171,3.8,술집,70,37.4806318,126.8805702,https://www.google.com/maps/place/%25EB%2586%2580%25EB%259E%2580%25EC%25B9%2598%25ED%2582%25A8+%25EA%25B0%2580%25EC%2582%25B0%25EB%2594%2594%25EC%25A7%2580%25ED%2584%25B8%25EB%258B%25A8%25EC%25A7%2580%25EC%25A0%2590/data=%213m1%214b1%214m6%213m5%211s0x357b61a6f7e6745f:0xf06d96bfbdbbebbf%218m2%213d37.4806318%214d126.8805702%2116s%252Fg%252F11g1k0plcz?entry=ttu&g_ep=EgoyMDI1MDcyMS4wIKXMDSoASAFQAw%253D%253D,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
해적아구찜 독산점,서울특별시 금천구 독산동 297-12 지상1층,"서울특별시 금천구 가산로3길 10, 지상1층 (독산동)",호프/통닭,금천구,126.8950751,37.47246108,해적아구찜독산점,일부 297 12번지 KR 서울특별시 금천구 독산동 1층,4,호프/통닭,1,37.4724066,126.8950618,https://www.google.com/maps/place/%25ED%2595%25B4%25EC%25A0%2581%25EC%2595%2584%25EA%25B5%25AC%25EC%25B0%259C%25EB%258F%2585%25EC%2582%25B0%25EC%25A0%2590/data=%213m1%214b1%214m6%213m5%211s0x357b61d9529f96a9:0x49f0a1cff8497f06%218m2%213d37.4724066%214d126.8950618%2116s%252Fg%252F11k3n7rvp2?entry=ttu&g_ep=EgoyMDI1MDcyMS4wIKXMDSoASAFQAw%253D%253D,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
모박사부대찌개,서울특별시 금천구 시흥동 830-22번지 지상2층,"서울특별시 금천구 탑골로 5 (시흥동,지상2층)",한식,금천구,126.91004,37.45108335,모박사부대찌개,서울특별시,4,한식,77,37.4510425,126.9100745,https://www.google.com/maps/place/%25EB%25AA%25A8%25EB%25B0%2595%25EC%2582%25AC%25EB%25B6%2580%25EB%258C%2580%25EC%25B0%258C%25EA%25B0%259C/data=%213m1%214b1%214m6%213m5%211s0x357b61b53c16e75b:0x146ec23f3506983f%218m2%213d37.4510425%214d126.9100745%2116s%252Fg%252F1t_hwxmf?entry=ttu&g_ep=EgoyMDI1MDcyMS4wIKXMDSoASAFQAw%253D%253D,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
