사업장명,지번주소,도로명주소,업태구분명,구,경도,위도
할머니레시피훔쳤닭,서울특별시 강북구 수유동 172-173,"서울특별시 강북구 한천로140길 47, 1층 (수유동)",한식,강북구,127.0284295,37.6417336
해피카페,서울특별시 강북구 수유동 172-154,"서울특별시 강북구 도봉로97길 33, 1층 우측호 (수유동)",기타,강북구,127.0277047,37.6423751
복순이해물찜,서울특별시 강북구 수유동 472-246 동원장여관,"서울특별시 강북구 삼양로 313, 동원장여관 1층 (수유동)",한식,강북구,127.0175584,37.63130634
사계초밥,서울특별시 도봉구 도봉동 622-50,"서울특별시 도봉구 도봉로154길 18-31, 1층 (도봉동)",일식,도봉구,127.0451256,37.66973776
미미반점,서울특별시 도봉구 창동 731-102,"서울특별시 도봉구 도봉로 590, 1층 (창동)",중국식,도봉구,127.0401721,37.65724784
우리할매떡볶이(노원점),서울특별시 노원구 상계동 602-2 현우빌딩,"서울특별시 노원구 상계로3길 15, 현우빌딩 1층 106호 (상계동)",분식,노원구,127.0621574,37.65690956
이(李)짬뽕,서울특별시 구로구 오류동 150-35,"서울특별시 구로구 오류로8길 50, 1층 (오류동)",중국식,구로구,126.8432407,37.4919454
돌초밥,서울특별시 금천구 독산동 297-11,"서울특별시 금천구 가산로 71, 1층 (독산동)",일식,금천구,126.8952916,37.47260459
대림음식점,서울특별시 중구 산림동 166-0번지 ,,한식,중구,,
영덕회식당,서울특별시 중구 충무로4가 56-3 ,서울특별시 중구 창경궁로1길 6 (충무로4가),한식,중구,126.9980062,37.56295855
월매네남원추어탕,서울특별시 중구 서소문동 51-2번지 ,서울특별시 중구 서소문로 109-8 (서소문동),한식,중구,126.9732829,37.56332531
남경,서울특별시 중구 남대문로4가 3-4 ,서울 중구 남대문시장길 29,중국식,중구,126.9776323,37.56044086
유미분식,서울특별시 중구 신당동 292-114 ,,분식,중구,,
진고개,서울특별시 중구 충무로3가 30-16번지 ,서울특별시 중구 충무로 19-1 (충무로3가),한식,중구,126.9928332,37.56301306
그랜드 키친,서울특별시 중구 명동1가 6-3번지 ,서울특별시 중구 명동길 61 (명동1가),경양식,중구,126.9856445,37.56431503
덕화장,서울특별시 중구 장충동2가 12-3번지 ,서울특별시 중구 동호로24길 41 (장충동2가),중국식,중구,127.0053684,37.56103892
대복,서울특별시 중구 북창동 65-2번지 ,서울특별시 중구 세종대로14길 22 (북창동),한식,중구,126.9779298,37.56279469
