사업장명,지번주소,도로명주소,업태구분명,구,경도,위도,구글가게명,구글주소,별점,카테고리,리뷰수,구글위도,구글경도
돌초밥,서울특별시 금천구 독산동 297-11,"서울특별시 금천구 가산로 71, 1층 (독산동)",일식,금천구,126.8952916,37.47260459,돌초밥,가산로 71 KR 서울특별시 금천구 독산동 297-11,5.0,스시/초밥집,1,37.4726042,126.8952918
월매네남원추어탕,서울특별시 중구 서소문동 51-2번지 ,서울특별시 중구 서소문로 109-8 (서소문동),한식,중구,126.9732829,37.56332531,월매네남원추어탕,서울특별시 중구 서소문로 109-8,4.3,추어탕 전문점,104,37.5632851,126.9732756
남경,서울특별시 중구 남대문로4가 3-4 ,서울 중구 남대문시장길 29,중국식,중구,126.9776323,37.56044086,남경,서울특별시 중구 남대문시장길 31-5,3.3,음식점,9,37.5604194,126.9776236
진고개,서울특별시 중구 충무로3가 30-16번지 ,서울특별시 중구 충무로 19-1 (충무로3가),한식,중구,126.9928332,37.56301306,진고개,서울특별시 중구 충무로 19-1 1층,4.0,한식당,930,37.5629747,126.9928161
덕화장,서울특별시 중구 장충동2가 12-3번지 ,서울특별시 중구 동호로24길 41 (장충동2가),중국식,중구,127.0053684,37.56103892,덕화장,서울특별시,3.7,음식점,239,37.5609804,127.0053281
대복,서울특별시 중구 북창동 65-2번지 ,서울특별시 중구 세종대로14길 22 (북창동),한식,중구,126.9779298,37.56279469,대복,서울특별시 중구 세종대로14길 22,4.2,복어 요리 전문식당,123,37.5627276,126.9778726
우성갈비,서울특별시 중구 신당동 372-36 1층 ,"서울특별시 중구 동호로7길 13, 1층 (신당동)",중국식,중구,127.0111734,37.55316362,우성갈비,서울특별시 중구 동호로7길 13,3.6,갈비 전문 음식점,365,37.5532411,127.0111672
뚝도 손칼국수,서울특별시 중구 신당동 121-60 (지상1층) ,"서울특별시 중구 다산로42길 37 (신당동,(지상1층))",한식,중구,127.0183319,37.56453274,뚝도손칼국수,서울특별시 중구 신당동 121 60번지 1층,5.0,한식당,2,37.5644888,127.0183127
대원집,서울특별시 중구 다동 124-2 ,서울특별시 중구 을지로3길 30-4 (다동),한식,중구,126.9816526,37.56741125,대원집,서울특별시 중구 을지로3길 30-4,4.0,한식당,379,37.5674109,126.9816528
그랜드 사마리칸트,서울특별시 중구 광희동1가 142 ,"서울특별시 중구 을지로44길 10, 1층 (광희동1가)",한식,중구,127.0064303,37.56573506,그랜드 사마르칸트 (GRAND SAMRKAND),서울특별시 중구 을지로44길 10,3.3,우즈베키스탄 레스토랑,54,37.5657347,127.0064305
키노이에,서울특별시 중구 오장동 206-24 ,서울 중구 동호로 325,한식,중구,127.0021982,37.5635596,키노이에 kinoiae,서울특별시 중구 동호로 325 1층,4.3,오코노미야끼 전문식당,19,37.5635363,127.0021198
오신정,서울특별시 중구 충무로3가 23-3번지 ,서울특별시 중구 퇴계로27길 42 (충무로3가),한식,중구,126.9913607,37.56318536,돼지한판 오신정,서울특별시 중구 퇴계로27길 42,4.0,한식당,54,37.5631347,126.9913463
짱이네,서울특별시 중구 을지로1가 16번지 지하1층(B107호) ,"서울특별시 중구 무교로 6 (을지로1가,지하1층(B107호))",한식,중구,126.9795044,37.56648524,짱이네,을지로1가 16번지 금세기상가 24호 중구 서울특별시 KR,3.4,상점,23,37.5664601,126.9794463
